,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Stopa zwrotu,Stopa otwarcie-zamkniecie,Stopa zamkniecie-otwarcie
158,2022-08-19,4.03,4.03,3.906,3.924,760702,-0.027150989065950926,-0.0266548342554751,-0.0030627895305457287
159,2022-08-22,3.904,3.92,3.712,3.77,1899095,-0.04003654024319725,-0.03492666709092673,0.06669137449867235
160,2022-08-23,3.74,3.86,3.71,3.81,923018,0.010554187678690319,0.018543577712168968,0.024372479412236414
161,2022-08-24,3.85,3.85,3.7,3.734,589811,-0.020149144019078857,-0.030593103180162062,0.001605566306909889
162,2022-08-25,3.77,3.878,3.77,3.846,456477,0.02955360204705726,0.01995864570666872,0.0010395011331048032
163,2022-08-26,3.846,3.852,3.68,3.718,961702,-0.03384775786733574,-0.03384775786733574,0.013889112160667016
164,2022-08-29,3.65,3.704,3.566,3.6,956114,-0.03225204383718805,-0.013793322132335861,0.06609980170452379
165,2022-08-30,3.61,3.714,3.592,3.602,1483267,0.0005554012916999529,-0.002218525591025422,0.013237920840635908
166,2022-08-31,3.582,3.818,3.582,3.784,942460,0.049292404435867576,0.0548603475511118,-0.047073878844842154
167,2022-09-01,3.724,3.758,3.604,3.626,720138,-0.04265153885697259,-0.026668247082161534,-0.012208808694139206
168,2022-09-02,3.642,3.794,3.642,3.794,2064275,0.04529075918016323,0.04088789020740613,-0.018622512098001698
169,2022-09-05,3.68,3.874,3.602,3.82,848033,0.006829551105661302,0.03733767043764402,-0.04771744131306743
170,2022-09-06,3.79,3.848,3.61,3.69,2226075,-0.03462396456604799,-0.02673956104189923,-0.0027137058715960283
171,2022-09-07,3.65,3.764,3.594,3.75,1181282,0.01612938192988378,0.027028672387919395,0.01061017911201545
172,2022-09-08,3.79,3.886,3.768,3.82,1976657,0.018494582636164214,0.007884403524148764,-0.04552325502408361
173,2022-09-09,3.9,4.04,3.88,4.02,2355859,0.05103148001244584,0.030305349495328926,-0.058915883536594604
174,2022-09-12,4.05,4.17,4.0,4.1,1693124,0.019705071079332503,0.012270092591814219,-0.05001042057466143
175,2022-09-13,4.16,4.232,4.03,4.08,1430894,-0.004889985294191712,-0.019418085857101586,-0.007380107297622507
176,2022-09-14,4.1,4.132,4.05,4.114,1167278,0.008298802814695083,0.003408817520503371,0.011119283042406503
177,2022-09-15,4.164,4.24,4.054,4.08,1100642,-0.008298802814695083,-0.020379162336652046,0.004889985294191712
178,2022-09-16,4.07,4.07,3.852,3.864,1748375,-0.054394072065798715,-0.05194008310423204,0.07477323440245076
179,2022-09-19,3.95,4.002,3.856,3.92,395888,0.014388737452099454,-0.0076239251106595685,0.037551345652132584
180,2022-09-20,3.96,3.99,3.802,3.85,587283,-0.01801850550267825,-0.0281708769666964,0.02564243061333782
181,2022-09-21,3.8,3.844,3.65,3.812,1141419,-0.009919162507737278,0.0031529190596155665,0.03809003947443368
182,2022-09-22,3.72,3.97,3.72,3.97,1134577,0.04061210890714362,0.0650424264140439,-0.043765027966759185
183,2022-09-23,3.96,3.966,3.728,3.788,1291946,-0.04692791937526741,-0.044405849942557474,-0.018114507038776484
184,2022-09-26,3.76,3.762,3.47,3.52,1353883,-0.07337718571382612,-0.06595796779179741,0.1177830356563836
185,2022-09-27,3.6,3.7,3.444,3.488,1633832,-0.009132483563272453,-0.03160533941533106,0.07509045135506986
186,2022-09-28,3.47,3.47,3.3,3.394,1766786,-0.027319339234698647,-0.0221454271467334,0.058924678650029705
187,2022-09-29,3.444,3.464,3.3,3.3,1844704,-0.02808669833959998,-0.04271111809304973,0.05023212548633338
188,2022-09-30,3.31,3.4,3.284,3.332,1251075,0.009650255832161614,0.006624534915624647,0.03306086226088811
189,2022-10-03,3.34,3.362,3.18,3.28,929936,-0.015729301908543825,-0.018127384592556695,0.009104766992919178
190,2022-10-04,3.368,3.478,3.324,3.478,1107688,0.05861399353603902,0.032138319552011074,-0.04048660894348233
191,2022-10-05,3.52,3.52,3.32,3.34,867066,-0.04048660894348233,-0.0524901826213966,0.008348289391471253
192,2022-10-06,3.37,3.42,3.32,3.328,519761,-0.003599284029646821,-0.012541221405308223,0.05608946665104342
193,2022-10-07,3.31,3.4,3.296,3.35,641890,0.006588822878012879,0.012012156448003575,0.005952398527295344
194,2022-10-10,3.3,3.32,3.22,3.314,823358,-0.010804426832603964,0.004233450531936578,-0.0012077296153996109
195,2022-10-11,3.296,3.328,3.162,3.306,1724161,-0.002416919605538581,0.0030293873516074044,-0.0018165309263979967
