,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Stopa zwrotu,Stopa otwarcie-zamkniecie,Stopa zamkniecie-otwarcie
53,2022-03-18,37.4053,37.7125,36.7164,36.9585,7702643.3929446,-0.016734872515028254,-0.012016744076015495,0.008776664979168292
54,2022-03-21,36.884,37.4984,35.562,35.7203,3492777.3409724,-0.03407650690508435,-0.03205869804765005,0.04609325098109984
55,2022-03-22,36.3068,36.5861,35.7855,36.5116,2846718.7272581,0.02191086368804429,0.005624966766458517,0.010147834359605756
56,2022-03-23,37.0422,37.2191,35.8786,36.614,2633724.0373469,0.0028006626115337774,-0.011627122333707884,-0.008425629377992294
57,2022-03-24,36.6606,36.7164,35.7668,35.9344,4066547.9935988,-0.018735626961501772,-0.02000755492241746,0.030362749295209657
58,2022-03-25,36.1206,36.2323,35.2641,35.981,2932053.668484,0.0012959673872963151,-0.003872318351882509,0.018711587535121144
59,2022-03-28,36.0275,36.5768,35.4876,35.562,4496017.7139158,-0.011713369320861311,-0.013004883696623448,0.01558568767274382
60,2022-03-29,35.9344,38.8669,35.2362,38.69,6343154.7224665,0.08430351667866542,0.07388611474510043,-0.07129863298204198
61,2022-03-30,38.6807,38.7272,37.5822,37.8894,3947521.4228626,-0.020909779120039218,-0.02066937803681812,-0.05297633562506121
62,2022-03-31,38.0197,38.5317,37.0888,37.0888,3708064.3292217,-0.02135635234843658,-0.024789409201303236,0.0420257303852547
63,2022-04-01,37.4705,38.448,37.3681,38.4014,2679833.1780045,0.03477888001848006,0.024539960537320216,-0.009989470817176827
64,2022-04-04,38.5411,38.9972,37.7032,38.6621,2580511.3498712,0.0067658747527921115,0.0031345876615267443,-0.03130583529011233
65,2022-04-05,38.5411,38.6528,37.154,37.2377,2670037.7381989,-0.03753810306039851,-0.034403515398871765,0.034403515398871765
66,2022-04-06,37.1446,37.7777,36.5395,37.0795,3078420.2473278,-0.00425743270622414,-0.0017541476876887785,0.038660948105095905
67,2022-04-07,37.4146,37.6474,36.8095,37.4053,2745854.3778438,0.008748149361749391,-0.000248596965457093,-0.006994001674060613
68,2022-04-08,37.5729,37.6846,36.2323,36.5861,2615805.6546956,-0.022144018759017392,-0.026614659002353047,0.022392615724474485
69,2022-04-11,36.0275,37.2005,35.9065,37.1912,1727920.3081023,0.016403787303461925,0.03178963842440963,0.010210871698891122
70,2022-04-12,36.3161,36.7723,35.562,35.6086,3897244.4670448,-0.04348499243716342,-0.019673987395319337,0.01169535401275379
71,2022-04-13,35.7203,36.2602,35.4503,35.6551,1474411.876804,0.0013050124144364794,-0.0018269604971825615,0.018368974980882857
72,2022-04-14,36.0275,36.2323,35.2362,35.3945,1642476.8747807,-0.007335753294710479,-0.01772609489302779,0.00916271379189304
73,2022-04-19,35.5434,35.8041,34.5566,35.0314,2727413.9441182,-0.010311638682916957,-0.014509682850537331,0.028037733575944745
74,2022-04-20,35.1617,35.7296,34.6311,34.9755,3054601.3985231,-0.0015969857794146947,-0.005309605671293127,0.016106668629952026
75,2022-04-21,35.441,36.5488,35.3293,36.1951,3225747.142345,0.03427593417881125,0.021054408510746025,-0.028966328507518124
76,2022-04-22,35.9344,36.0275,34.7335,35.0128,2096486.2181222,-0.03321004163587293,-0.02598134504936267,0.012155633125126908
77,2022-04-25,34.4449,34.7614,32.1269,32.8251,7371179.6312839,-0.06452024227524689,-0.04816747921925213,0.09050158732460956
78,2022-04-26,33.3743,33.6443,32.2572,32.3503,4974284.1711612,-0.01457017216847678,-0.031162848243454278,0.06273765138772891
79,2022-04-27,32.3875,32.5179,31.4193,31.922,3380995.034525,-0.013327867213868139,-0.014477118627861607,0.044490715457322416
80,2022-04-28,32.462,32.4899,31.0377,31.1866,3664113.2145065,-0.023306911880451864,-0.04008165910296402,0.03778403050831347
81,2022-04-29,31.6614,31.9593,30.4884,30.5443,6740752.4727787,-0.020810426548476535,-0.03592018447951473,0.06089208565144055
82,2022-05-02,30.4139,30.8142,29.8274,30.2836,2977906.0803212,-0.0085717769724174,-0.004293428894349027,0.04449196145193213
83,2022-05-04,30.5443,30.5722,29.3713,29.4364,5855582.6511146,-0.028374308084168742,-0.03694608505658614,0.03266773697851777
84,2022-05-05,30.0695,30.2557,28.7755,28.8499,4651214.0454958,-0.02012547703125689,-0.04140484225029084,0.05707156208784303
85,2022-05-06,28.8406,28.943,27.5652,28.6917,4174903.6685098,-0.00549864441027248,-0.005176234305296568,0.04690348666056332
