Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-09-13,4.16,4.232,4.03,4.08,1430894
2022-09-14,4.1,4.132,4.05,4.114,1167278
2022-09-15,4.164,4.24,4.054,4.08,1100642
2022-09-16,4.07,4.07,3.852,3.864,1748375
2022-09-19,3.95,4.002,3.856,3.92,395888
2022-09-20,3.96,3.99,3.802,3.85,587283
2022-09-21,3.8,3.844,3.65,3.812,1141419
2022-09-22,3.72,3.97,3.72,3.97,1134577
2022-09-23,3.96,3.966,3.728,3.788,1291946
2022-09-26,3.76,3.762,3.47,3.52,1353883
2022-09-27,3.6,3.7,3.444,3.488,1633832
2022-09-28,3.47,3.47,3.3,3.394,1766786
2022-09-29,3.444,3.464,3.3,3.3,1844704
2022-09-30,3.31,3.4,3.284,3.332,1251075
2022-10-03,3.34,3.362,3.18,3.28,929936
2022-10-04,3.368,3.478,3.324,3.478,1107688
2022-10-05,3.52,3.52,3.32,3.34,867066
2022-10-06,3.37,3.42,3.32,3.328,519761
2022-10-07,3.31,3.4,3.296,3.35,641890
2022-10-10,3.3,3.32,3.22,3.314,823358
2022-10-11,3.296,3.328,3.162,3.306,1724161
2022-10-12,3.32,3.32,3.206,3.25,901125
2022-10-13,3.2,3.326,3.152,3.326,1492830
2022-10-14,3.422,3.486,3.396,3.408,791821
2022-10-17,3.4,3.48,3.37,3.48,326152
2022-10-18,3.52,3.644,3.512,3.598,677742
2022-10-19,3.58,3.58,3.418,3.446,529079
2022-10-20,3.406,3.578,3.37,3.574,929835
2022-10-21,3.54,3.68,3.464,3.546,1450064
2022-10-24,3.64,3.77,3.48,3.754,1485802
2022-10-25,3.758,3.978,3.712,3.95,1664235
2022-10-26,3.98,4.126,3.95,4.08,1481615
2022-10-27,4.09,4.224,3.976,4.2,1383220
2022-10-28,4.192,4.356,4.054,4.3,1103715
2022-10-31,4.3,4.436,4.25,4.36,683255
2022-11-02,4.37,4.43,4.262,4.322,1283136
2022-11-03,4.28,4.28,4.11,4.236,1936455
2022-11-04,4.202,4.45,4.202,4.432,1793354
2022-11-07,4.48,4.64,4.426,4.53,983706
2022-11-08,4.59,4.678,4.51,4.66,724175
2022-11-09,4.68,4.95,4.622,4.918,1131265
2022-11-10,4.9,5.09,4.76,5.03,2147671
2022-11-14,5.055,5.235,5.025,5.105,1675590
2022-11-15,5.15,5.16,4.868,4.95,1959657
2022-11-16,4.85,4.968,4.722,4.9,1896843
2022-11-17,4.88,4.928,4.7,4.82,1042640
2022-11-18,4.8,4.916,4.732,4.862,664222
2022-11-21,4.8,4.858,4.564,4.624,1559899
2022-11-22,4.59,4.68,4.58,4.628,584335
2022-11-23,4.678,4.736,4.6,4.668,817227
2022-11-24,4.676,4.758,4.63,4.7,369859
2022-11-25,4.76,4.778,4.672,4.75,540059
2022-11-28,4.73,4.74,4.64,4.712,659418
2022-11-29,4.69,4.714,4.6,4.644,537273
2022-11-30,4.65,4.76,4.59,4.64,1698079
2022-12-01,4.75,4.758,4.652,4.7,746004
2022-12-02,4.7,4.7,4.552,4.574,1020455
2022-12-05,4.584,4.768,4.584,4.71,565299
2022-12-06,4.652,4.652,4.54,4.58,1011377
2022-12-07,4.57,4.638,4.53,4.586,384455
2022-12-08,4.56,4.56,4.42,4.486,595438
2022-12-09,4.48,4.508,4.35,4.44,530475
2022-12-12,4.4,4.454,4.34,4.44,389729
2022-12-13,4.47,4.616,4.452,4.546,605203
2022-12-14,4.62,4.708,4.574,4.636,747784
2022-12-15,4.6,4.638,4.522,4.56,1834561
2022-12-16,4.55,4.666,4.52,4.662,1514576
2022-12-19,4.688,4.72,4.508,4.552,613678
2022-12-20,4.548,4.594,4.504,4.57,1011784
2022-12-21,4.57,4.698,4.564,4.698,463428
2022-12-22,4.692,4.76,4.644,4.696,420953
2022-12-23,4.75,4.75,4.614,4.642,221601
2022-12-27,4.694,4.7,4.49,4.52,467957
2022-12-28,4.518,4.588,4.476,4.56,426680
2022-12-29,4.52,4.67,4.51,4.622,274998
2022-12-30,4.62,4.642,4.566,4.58,203736
2023-01-02,4.67,4.73,4.6,4.73,289248
2023-01-03,4.764,5.15,4.75,5.07,1863868
2023-01-04,5.1,5.6,5,5.595,3301336
2023-01-05,5.595,5.84,5.41,5.64,2387271
2023-01-09,5.66,5.77,5.525,5.585,1584886
2023-01-10,5.59,5.7,5.515,5.67,918136
2023-01-11,5.72,5.77,5.305,5.31,2019528
2023-01-12,5.31,5.59,5.28,5.52,1493303
2023-01-13,5.58,5.58,5.41,5.5,494481
2023-01-16,5.485,5.545,5.385,5.45,280831
2023-01-17,5.485,5.49,5.22,5.23,1288481
2023-01-18,5.23,5.31,5.13,5.155,1324751
2023-01-19,5.14,5.26,5.105,5.23,1039299
2023-01-20,5.25,5.37,5.195,5.265,665540
2023-01-23,5.27,5.3,5.14,5.14,1224771
2023-01-24,5.16,5.22,5.06,5.095,949688
2023-01-25,5.03,5.03,4.66,4.752,4642639
2023-01-26,4.8,4.858,4.712,4.82,1264214
2023-01-27,4.82,4.86,4.762,4.786,668765
2023-01-30,4.758,4.758,4.592,4.594,1431127
2023-01-31,4.7,5.15,4.67,5.14,3987868
2023-02-01,5.15,5.215,5,5.05,1362820
2023-02-02,5.17,5.175,4.97,5.05,1235636
2023-02-03,5.07,5.12,5,5.08,476781
2023-02-06,5.02,5.055,4.902,4.942,1084361
2023-02-07,4.944,5.045,4.898,4.914,902775
2023-02-08,4.93,5.025,4.93,4.954,403458
2023-02-09,4.98,5.145,4.96,5.005,803435
2023-02-10,4.99,5.035,4.86,4.87,803089
2023-02-13,4.87,4.944,4.79,4.82,801229
2023-02-14,4.932,5.1,4.864,5.05,2177688
2023-02-15,5.035,5.045,4.926,5.015,1124752
2023-02-16,5,5.095,4.576,4.84,8161457
2023-02-17,4.8,4.836,4.702,4.81,1161119
2023-02-20,4.81,4.81,4.7,4.7,698662
2023-02-21,4.68,4.69,4.546,4.546,1067219
2023-02-22,4.548,4.6,4.34,4.376,1639600
2023-02-23,4.376,4.488,4.376,4.48,1746068
2023-02-24,4.49,4.538,4.422,4.462,694888
2023-02-27,4.462,4.508,4.408,4.43,436131
2023-02-28,4.478,4.598,4.43,4.53,1661310
2023-03-01,4.55,4.62,4.52,4.564,1037048
2023-03-02,4.564,4.586,4.414,4.42,966063
2023-03-03,4.48,4.518,4.43,4.454,575428
2023-03-06,4.52,4.73,4.514,4.702,1360412
2023-03-07,4.7,4.706,4.58,4.6,1092519
2023-03-08,4.56,4.65,4.56,4.61,914353
2023-03-09,4.66,4.66,4.508,4.538,724578
2023-03-10,4.43,4.484,4.326,4.368,1319404
2023-03-13,4.36,4.418,4.084,4.182,2558839
2023-03-14,4.16,4.3,4.142,4.276,856227
2023-03-15,4.334,4.34,4.008,4.068,1803190
2023-03-16,4.1,4.188,3.964,4.044,1272074
2023-03-17,4.13,4.164,3.852,3.878,2164960
2023-03-20,3.838,3.96,3.66,3.932,1797297
2023-03-21,4,4.124,4,4.06,1965587
2023-03-22,4.088,4.116,3.974,3.974,1236332
2023-03-23,3.96,4.008,3.862,3.92,691655
2023-03-24,3.93,3.93,3.724,3.84,1252675
2023-03-27,3.83,3.896,3.74,3.8,968221
2023-03-28,3.828,4.118,3.828,4.09,2276551
2023-03-29,4.18,4.298,4.062,4.256,2068853
2023-03-30,4.28,4.436,4.26,4.424,1227530
2023-03-31,4.45,4.476,4.348,4.452,1297305
2023-04-03,4.45,4.632,4.4,4.588,1498315
